Maths,Physics,English,Economics,Biology
12,49,76,10,14
70,97,17,82,37
62,44,58,98,68
70,32,79,71,18
25,56,62,61,99
28,92,10,49,12
72,21,57,33,15
64,32,44,58,61
13,43,88,95,93
78,80,16,14,93
62,90,98,87,93
95,82,11,54,10
48,49,66,11,48
28,95,31,55,99
53,29,39,99,49
59,80,70,49,37
17,67,76,14,80
52,16,15,61,91
88,16,10,78,54
72,88,24,95,33
20,35,64,41,93
39,61,15,62,85
73,86,27,55,30
94,23,91,67,16
71,74,93,17,77
63,17,97,11,42
45,21,18,58,22
63,83,82,28,41
26,69,23,51,31
13,18,66,87,83
25,49,42,93,74
83,39,72,79,47
46,60,51,50,56
91,75,49,11,55
45,50,33,44,40
70,89,20,88,88
91,95,29,74,50
68,75,71,51,41
62,90,36,60,10
37,44,30,73,83
77,41,84,81,12
49,76,65,25,87
60,86,79,50,87
51,29,53,11,20
76,49,48,76,58
82,12,96,34,40
35,79,24,31,13
38,56,52,70,23
67,54,67,34,14
11,61,17,51,25
53,54,21,55,46
11,38,36,53,34
78,41,71,55,70
77,64,43,80,58
25,14,21,43,26
49,83,61,38,35
34,93,95,79,61
31,87,78,96,41
42,34,82,72,55
13,62,75,44,86
40,15,33,84,40
64,67,14,49,36
65,52,91,12,83
58,88,38,84,33
82,15,15,83,51
20,36,64,73,92
64,81,49,38,15
81,46,80,18,93
87,50,72,94,30
52,44,22,92,88
66,35,23,78,46
56,72,52,25,79
35,37,74,64,15
33,38,12,68,83
64,98,65,57,47
46,57,37,63,45
14,21,95,46,47
14,80,46,32,72
55,35,20,36,23
61,25,38,96,96
45,92,43,46,52
47,48,97,16,76
61,70,24,78,47
55,13,60,53,95
20,94,91,25,66
38,89,55,46,21
36,93,33,92,69
28,47,96,70,94
66,36,97,87,61
52,22,74,32,39
52,79,25,53,10
37,48,58,96,82
73,66,18,24,55
76,73,68,44,39
89,40,58,50,22
13,71,83,74,22
54,19,93,92,37
74,82,66,82,81
74,19,37,34,12
18,95,29,70,80
47,20,20,80,41
90,80,90,55,26
54,55,25,70,23
10,44,56,20,54
53,11,95,64,82
10,55,44,71,52
68,16,83,29,18
46,40,12,46,63
75,77,34,77,54
80,55,53,16,21
62,92,26,46,14
40,69,47,46,12
70,78,35,97,25
35,11,69,88,86
98,70,98,71,54
85,39,76,12,47
84,91,67,79,58
45,61,95,95,28
73,30,56,26,42
25,47,11,10,31
97,30,33,95,40
21,25,66,99,98
72,26,32,50,47
68,25,63,38,94
74,42,77,91,14
31,17,20,24,56
72,45,75,59,65
29,66,40,63,81
58,20,50,57,67
32,97,83,67,46
87,62,83,94,94
77,44,73,12,71
38,31,26,24,86
59,41,78,89,28
66,86,48,98,72
77,42,44,75,60
61,28,41,69,28
27,62,59,59,77
43,19,39,27,15
86,72,90,57,10
42,30,28,56,25
37,58,13,23,46
20,86,32,32,60
87,48,29,30,89
61,12,34,97,43
37,10,47,48,89
85,59,40,77,10
22,93,93,79,27
90,25,31,20,65
47,18,43,39,30
88,74,49,67,12
86,16,74,65,13
17,35,42,31,71
79,86,83,17,36
64,63,21,36,79
15,46,26,81,48
64,44,76,82,92
82,43,26,42,22
97,94,97,15,34
19,46,94,93,11
63,17,37,83,87
14,53,35,48,60
65,17,24,67,99
85,75,55,24,44
17,69,64,43,14
52,36,30,86,78
32,39,80,10,12
69,53,99,88,67
38,86,24,62,90
52,21,55,51,39
81,26,78,85,80
49,97,89,27,31
71,63,20,62,68
74,69,94,85,68
30,33,29,54,37
57,37,75,61,14
60,65,47,47,50
18,65,94,61,47
18,48,43,69,21
98,48,60,76,39
39,72,95,41,21
84,48,87,74,12
17,41,68,30,53
89,36,75,33,71
97,73,22,11,82
75,58,35,65,58
89,64,71,92,78
54,82,99,84,36
89,97,25,57,50
35,88,30,14,15
52,48,88,68,95
50,44,17,31,73
87,68,58,35,46
33,35,59,52,87
80,99,62,22,87
61,63,82,17,37
16,63,77,89,37
49,61,44,78,16
58,89,49,68,90
14,27,96,42,91
38,74,29,71,23
52,50,89,77,93
82,67,44,81,10
16,70,81,62,18
55,11,61,62,79
38,38,69,72,22
89,38,20,78,30
39,71,91,38,66
37,32,20,67,97
86,37,17,14,13
29,96,19,40,49
80,19,48,74,64
91,36,65,26,82
73,12,75,99,63
34,94,33,28,86
46,37,71,26,44
19,91,18,43,78
22,66,97,59,54
40,21,71,12,88
70,94,30,93,13
36,72,43,72,14
10,55,60,30,12
73,29,20,10,98
55,19,18,65,28
37,33,16,72,88
99,74,31,75,77
27,12,99,10,19
64,25,36,46,47
31,34,37,24,21
24,59,96,42,25
73,92,31,49,43
91,96,83,28,28
54,87,64,19,16
12,32,26,14,97
39,64,99,30,60
46,88,62,70,65
41,38,34,40,18
84,70,68,25,30
18,59,66,34,94
82,71,79,55,68
51,71,81,14,67
44,99,31,51,75
13,55,18,86,62
59,94,65,99,14
54,65,29,10,10
28,33,20,53,24
61,93,12,27,76
58,18,76,55,15
38,53,34,49,50
98,22,82,75,14
68,63,98,96,84
58,98,72,72,94
71,75,89,83,58
65,19,44,27,87
68,32,58,63,22
44,94,16,41,93
69,71,59,99,52
27,68,94,38,74
84,85,26,93,88
91,11,87,29,32
38,12,98,64,74
39,83,90,49,89
95,71,52,48,24
81,39,81,39,11
89,23,11,79,79
73,96,68,54,21
96,20,21,21,83
45,31,62,40,35
12,35,91,60,42
81,97,95,38,89
81,64,86,14,72
75,50,54,68,58
12,60,54,91,41
12,70,59,74,64
40,55,86,46,47
42,57,93,11,25
17,17,32,95,47
83,84,17,93,37
63,44,86,84,92
63,46,14,51,96
25,86,83,74,54
89,31,96,93,69
31,63,78,22,29
41,19,88,53,38
82,98,63,50,26
82,63,80,50,78
26,44,21,16,27
37,99,41,71,59
15,31,55,45,20
25,55,71,67,87
86,17,49,94,88
58,58,30,36,82
63,61,76,59,87
53,10,15,86,20
25,48,31,34,57
64,95,35,26,15
80,68,70,37,17
31,36,87,97,40
65,53,84,18,39
92,32,78,78,41
35,39,88,28,69
96,20,82,52,49
44,72,47,93,24
73,49,17,14,31
99,36,28,21,40
45,45,20,66,71
58,25,33,21,56
36,35,63,50,23
28,82,84,65,18
49,85,80,73,38
11,75,48,48,27
66,43,61,22,62
29,67,48,38,44
11,32,69,18,95
77,17,45,75,36
75,94,22,94,73
18,57,25,39,50
31,44,41,94,65
88,52,18,65,18
16,67,77,39,57
91,18,81,89,17
86,40,61,73,12
48,45,17,91,78
73,71,82,95,66
16,93,43,53,75
58,34,48,11,32
82,93,39,77,25
17,18,37,78,23
52,49,70,16,25
46,54,82,83,76
36,70,60,65,99
54,81,54,15,92
66,82,60,36,83
62,10,30,32,70
52,31,32,14,99
91,20,79,77,68
53,45,88,98,37
71,52,54,24,27
87,57,67,76,41
51,63,86,54,77
65,57,36,33,44
