symbol,value,,
à,0,,1
ô,1,,1
ó,2,,1
ä,3,,0
Ü,4,,0
ó,5,,1
î,6,,0
á,7,,0
ö,8,,0
à,9,,1
Ö,10,,0
ã,11,,0
ô,12,,1
ë,13,,0
î,14,,0
ö,15,,0
é,16,,0
Ñ,17,,0
ã,18,,0
û,19,,0
Ö,20,,0
Ü,21,,0
ó,22,,1
ó,23,,1
å,24,,0
í,25,,0
ã,26,,0
Ü,27,,0
Ñ,28,,0
ä,29,,0
ë,30,,0
ü,31,,0
ë,32,,0
É,33,,0
Ñ,34,,0
Ç,35,,0
ó,36,,1
å,37,,0
ú,38,,0
í,39,,0
ï,40,,0
û,41,,0
Ç,42,,0
à,43,,1
ó,44,,1
ñ,45,,0
ú,46,,0
Ü,47,,0
á,48,,0
Ñ,49,,0
à,50,,1
à,51,,1
ó,52,,1
ñ,53,,0
ì,54,,0
à,55,,1
å,56,,0
ì,57,,0
á,58,,0
ü,59,,0
ì,60,,0
õ,61,,0
å,62,,0
ô,63,,1
â,64,,0
ã,65,,0
Ä,66,,0
ò,67,,0
í,68,,0
á,69,,0
ä,70,,0
å,71,,0
ö,72,,0
Ä,73,,0
ô,74,,1
Ö,75,,0
ñ,76,,0
ë,77,,0
Ü,78,,0
Ö,79,,0
õ,80,,0
û,81,,0
ï,82,,0
ó,83,,1
ï,84,,0
ã,85,,0
ì,86,,0
ñ,87,,0
ü,88,,0
ü,89,,0
Ü,90,,0
ñ,91,,0
ô,92,,1
É,93,,0
õ,94,,0
à,95,,1
â,96,,0
à,97,,1
í,98,,0
ü,99,,0
ö,100,,0
Ö,101,,0
ä,102,,0
í,103,,0
Ü,104,,0
ó,105,,1
û,106,,0
î,107,,0
õ,108,,0
î,109,,0
ñ,110,,0
á,111,,0
ñ,112,,0
ã,113,,0
ô,114,,1
õ,115,,0
á,116,,0
ã,117,,0
ì,118,,0
ò,119,,0
ò,120,,0
û,121,,0
û,122,,0
Ä,123,,0
û,124,,0
ï,125,,0
É,126,,0
â,127,,0
ï,128,,0
ì,129,,0
å,130,,0
î,131,,0
á,132,,0
ü,133,,0
Ñ,134,,0
ú,135,,0
õ,136,,0
ò,137,,0
ú,138,,0
é,139,,0
ò,140,,0
ü,141,,0
à,142,,1
Ä,143,,0
ì,144,,0
É,145,,0
í,146,,0
å,147,,0
É,148,,0
õ,149,,0
ó,150,,1
à,151,,1
õ,152,,0
à,153,,1
Ä,154,,0
î,155,,0
å,156,,0
î,157,,0
ë,158,,0
ú,159,,0
ö,160,,0
ö,161,,0
õ,162,,0
á,163,,0
ö,164,,0
ã,165,,0
î,166,,0
õ,167,,0
â,168,,0
ä,169,,0
á,170,,0
å,171,,0
ë,172,,0
ã,173,,0
Ä,174,,0
ã,175,,0
ó,176,,1
É,177,,0
ö,178,,0
Ç,179,,0
ñ,180,,0
í,181,,0
Ç,182,,0
Ä,183,,0
Ä,184,,0
â,185,,0
à,186,,1
Ü,187,,0
ã,188,,0
û,189,,0
å,190,,0
å,191,,0
ï,192,,0
ô,193,,1
ö,194,,0
Ç,195,,0
ã,196,,0
ë,197,,0
Ä,198,,0
ü,199,,0
ò,200,,0
õ,201,,0
á,202,,0
ë,203,,0
å,204,,0
É,205,,0
ò,206,,0
ü,207,,0
á,208,,0
í,209,,0
ò,210,,0
ï,211,,0
ò,212,,0
Ñ,213,,0
ü,214,,0
õ,215,,0
ó,216,,1
Ä,217,,0
õ,218,,0
ä,219,,0
û,220,,0
Ñ,221,,0
Ñ,222,,0
ö,223,,0
å,224,,0
û,225,,0
å,226,,0
É,227,,0
û,228,,0
ô,229,,1
ñ,230,,0
ã,231,,0
ó,232,,1
å,233,,0
ú,234,,0
É,235,,0
ü,236,,0
ä,237,,0
Ö,238,,0
ò,239,,0
û,240,,0
â,241,,0
ä,242,,0
ì,243,,0
ö,244,,0
Ä,245,,0
ò,246,,0
ñ,247,,0
û,248,,0
Ü,249,,0
â,250,,0
Ç,251,,0
ã,252,,0
à,253,,1
ã,254,,0
à,255,,1
ô,256,,1
û,257,,0
î,258,,0
Ñ,259,,0
ö,260,,0
í,261,,0
é,262,,0
Ç,263,,0
ü,264,,0
â,265,,0
ñ,266,,0
ó,267,,1
ô,268,,1
ì,269,,0
ô,270,,1
å,271,,0
Ü,272,,0
û,273,,0
ë,274,,0
í,275,,0
ã,276,,0
ò,277,,0
â,278,,0
ò,279,,0
ì,280,,0
ô,281,,1
ü,282,,0
ä,283,,0
á,284,,0
ü,285,,0
í,286,,0
û,287,,0
û,288,,0
å,289,,0
õ,290,,0
ñ,291,,0
ö,292,,0
å,293,,0
å,294,,0
à,295,,1
á,296,,0
É,297,,0
ì,298,,0
ü,299,,0
Ö,300,,0
Ü,301,,0
ü,302,,0
É,303,,0
Ö,304,,0
å,305,,0
Ö,306,,0
í,307,,0
Ö,308,,0
É,309,,0
á,310,,0
Ö,311,,0
ô,312,,1
ä,313,,0
É,314,,0
ô,315,,1
ó,316,,1
ì,317,,0
ó,318,,1
ë,319,,0
õ,320,,0
ã,321,,0
Ä,322,,0
û,323,,0
Ñ,324,,0
ò,325,,0
ã,326,,0
õ,327,,0
É,328,,0
å,329,,0
ñ,330,,0
Ö,331,,0
ï,332,,0
Ö,333,,0
ë,334,,0
Ñ,335,,0
â,336,,0
ï,337,,0
ñ,338,,0
å,339,,0
é,340,,0
â,341,,0
û,342,,0
Ü,343,,0
å,344,,0
ü,345,,0
Ñ,346,,0
ô,347,,1
á,348,,0
ñ,349,,0
ä,350,,0
ï,351,,0
Ä,352,,0
Ä,353,,0
ñ,354,,0
î,355,,0
Ç,356,,0
à,357,,1
ú,358,,0
í,359,,0
õ,360,,0
ã,361,,0
å,362,,0
Ä,363,,0
ú,364,,0
û,365,,0
õ,366,,0
å,367,,0
ô,368,,1
Ñ,369,,0
Ç,370,,0
ì,371,,0
ë,372,,0
û,373,,0
õ,374,,0
ï,375,,0
Ñ,376,,0
à,377,,1
Ç,378,,0
û,379,,0
ì,380,,0
ó,381,,1
å,382,,0
ò,383,,0
ì,384,,0
î,385,,0
Ä,386,,0
å,387,,0
Ö,388,,0
ô,389,,1
ó,390,,1
ä,391,,0
ö,392,,0
ï,393,,0
ä,394,,0
ë,395,,0
á,396,,0
ã,397,,0
ì,398,,0
ã,399,,0
Ñ,400,,0
Ö,401,,0
é,402,,0
ï,403,,0
Ä,404,,0
ï,405,,0
ï,406,,0
Ç,407,,0
Ä,408,,0
â,409,,0
Ö,410,,0
ä,411,,0
ú,412,,0
ô,413,,1
å,414,,0
ó,415,,1
Ç,416,,0
á,417,,0
Ä,418,,0
á,419,,0
Ç,420,,0
Ç,421,,0
å,422,,0
î,423,,0
ó,424,,1
ü,425,,0
û,426,,0
â,427,,0
ô,428,,1
à,429,,1
ó,430,,1
ó,431,,1
ì,432,,0
í,433,,0
ü,434,,0
ò,435,,0
Ü,436,,0
ú,437,,0
ö,438,,0
í,439,,0
ñ,440,,0
ü,441,,0
ë,442,,0
ò,443,,0
ô,444,,1
ü,445,,0
ï,446,,0
õ,447,,0
ú,448,,0
Ä,449,,0
â,450,,0
î,451,,0
Ö,452,,0
å,453,,0
ô,454,,1
ñ,455,,0
ó,456,,1
ì,457,,0
ô,458,,1
ö,459,,0
ú,460,,0
ä,461,,0
ä,462,,0
Ü,463,,0
ò,464,,0
ö,465,,0
é,466,,0
Ö,467,,0
í,468,,0
ö,469,,0
û,470,,0
ò,471,,0
Ä,472,,0
ì,473,,0
à,474,,1
Ñ,475,,0
Ñ,476,,0
î,477,,0
õ,478,,0
ï,479,,0
â,480,,0
Ä,481,,0
É,482,,0
à,483,,1
á,484,,0
ö,485,,0
Ä,486,,0
ô,487,,1
ü,488,,0
Ü,489,,0
Ç,490,,0
ï,491,,0
â,492,,0
é,493,,0
Ñ,494,,0
å,495,,0
Ç,496,,0
Ñ,497,,0
Ñ,498,,0
Ç,499,,0
≈°,0,,0
∆í,1,,0
≈Ω,2,,0
‚Äù,3,,0
≈æ,4,,0
‚Ä¶,5,,0
Àú,6,,0
∆í,7,,0
≈Ω,8,,0
‚Äò,9,,0
‚Ä†,10,,0
‚Äπ,11,,0
‚Ä°,12,,0
‚Ä¢,13,,0
≈†,14,,0
‚Ä¢,15,,0
‚Äû,16,,0
‚Ä°,17,,0
‚Ä¢,18,,0
‚Ä∞,19,,0
≈æ,20,,0
‚Äö,21,,0
≈ì,22,,0
‚Ä∫,23,,0
‚Äú,24,,0
Àú,25,,0
‚Äì,26,,0
‚Äì,27,,0
≈°,28,,0
‚Ä∫,29,,0
ÀÜ,30,,0
≈†,31,,0
‚Äò,32,,0
≈ì,33,,0
‚Ä°,34,,0
≈ì,35,,0
≈∏,36,,0
‚Äô,37,,0
≈Ω,38,,0
≈†,39,,0
‚Äò,40,,0
≈æ,41,,0
‚Ä°,42,,0
≈†,43,,0
∆í,44,,0
≈†,45,,0
≈†,46,,0
‚Ä°,47,,0
‚Äú,48,,0
‚Ñ¢,49,,0
‚Äö,50,,0
‚Ä¶,51,,0
‚Ä°,52,,0
≈∏,53,,0
‚Ä†,54,,0
‚Äû,55,,0
‚Äì,56,,0
≈°,57,,0
‚Äì,58,,0
Àú,59,,0
‚Ç¨,60,,0
‚Ç¨,61,,0
‚Äù,62,,0
Àú,63,,0
‚Ä†,64,,0
‚Äò,65,,0
‚Ñ¢,66,,0
ÀÜ,67,,0
